movie_id,average_rating,Number_of_votes,title,original_title,start_year,runtime_minutes,studio,domestic_gross_x,foreign_gross,year,total_gross,production_budget,domestic_gross_y,worldwide_gross,ROI,genres
tt1219289,7.4,492490,Limitless,Limitless,2011,105.0,Rela.,79200000.0,82600000,2011,161800000.0,27000000,79249455,155564919,128564919,Thriller
tt4597838,6.7,10,Limitless,Limitless,2015,3.0,Rela.,79200000.0,82600000,2011,161800000.0,27000000,79249455,155564919,128564919,Biography
tt4597838,6.7,10,Limitless,Limitless,2015,3.0,Rela.,79200000.0,82600000,2011,161800000.0,27000000,79249455,155564919,128564919,Documentary
tt6084030,3.9,8,Limitless,Limitless,2017,57.0,Rela.,79200000.0,82600000,2011,161800000.0,27000000,79249455,155564919,128564919,Documentary
tt1645080,6.6,53682,The Art of Getting By,The Art of Getting By,2011,83.0,FoxS,1400000.0,0,2011,1400000.0,4000000,1430241,1989035,-2010965,Drama
tt1645080,6.6,53682,The Art of Getting By,The Art of Getting By,2011,83.0,FoxS,1400000.0,0,2011,1400000.0,4000000,1430241,1989035,-2010965,Romance
tt1723811,7.2,171353,Shame,Shame,2011,101.0,FoxS,3900000.0,13800000,2011,17700000.0,6500000,4002293,20412841,13912841,Drama
tt3009444,6.4,38,Shame,Styd,2013,90.0,FoxS,3900000.0,13800000,2011,17700000.0,6500000,4002293,20412841,13912841,Drama
tt1568911,7.2,136447,War Horse,War Horse,2011,146.0,BV,79900000.0,97700000,2011,177600000.0,70000000,79883359,156815529,86815529,Drama
tt1568911,7.2,136447,War Horse,War Horse,2011,146.0,BV,79900000.0,97700000,2011,177600000.0,70000000,79883359,156815529,86815529,History
tt1568911,7.2,136447,War Horse,War Horse,2011,146.0,BV,79900000.0,97700000,2011,177600000.0,70000000,79883359,156815529,86815529,War
tt3313072,8.6,143,War Horse,National Theatre Live: War Horse,2014,94.6540400990398,BV,79900000.0,97700000,2011,177600000.0,70000000,79883359,156815529,86815529,Drama
tt1634122,6.3,110824,Johnny English Reborn,Johnny English Reborn,2011,101.0,Uni.,8300000.0,151800000,2011,160100000.0,45000000,8406711,164640401,119640401,Action
tt1634122,6.3,110824,Johnny English Reborn,Johnny English Reborn,2011,101.0,Uni.,8300000.0,151800000,2011,160100000.0,45000000,8406711,164640401,119640401,Adventure
tt1634122,6.3,110824,Johnny English Reborn,Johnny English Reborn,2011,101.0,Uni.,8300000.0,151800000,2011,160100000.0,45000000,8406711,164640401,119640401,Comedy
tt1742336,6.7,24780,Your Sister's Sister,Your Sister's Sister,2011,90.0,IFC,1600000.0,0,2012,1600000.0,120000,1597486,3090593,2970593,Comedy
tt1742336,6.7,24780,Your Sister's Sister,Your Sister's Sister,2011,90.0,IFC,1600000.0,0,2012,1600000.0,120000,1597486,3090593,2970593,Drama
tt0770802,8.5,29725,Samsara,Samsara,2011,102.0,Osci.,2700000.0,0,2012,2700000.0,4000000,2672413,5966671,1966671,Documentary
tt0770802,8.5,29725,Samsara,Samsara,2011,102.0,Osci.,2700000.0,0,2012,2700000.0,4000000,2672413,5966671,1966671,Music
tt0990407,5.8,148622,The Green Hornet,The Green Hornet,2011,119.0,Sony,98800000.0,129000000,2011,227800000.0,110000000,98780042,229155503,119155503,Action
tt0990407,5.8,148622,The Green Hornet,The Green Hornet,2011,119.0,Sony,98800000.0,129000000,2011,227800000.0,110000000,98780042,229155503,119155503,Comedy
tt0990407,5.8,148622,The Green Hornet,The Green Hornet,2011,119.0,Sony,98800000.0,129000000,2011,227800000.0,110000000,98780042,229155503,119155503,Crime
tt1684628,5.9,7055,Circumstance,Circumstance,2011,107.0,RAtt.,454000.0,0,2011,454000.0,900000,454121,958978,58978,Drama
tt1704573,6.8,53765,Bernie,Bernie,2011,99.0,MNE,9200000.0,0,2012,9200000.0,6000000,9204489,10106975,4106975,Biography
tt1704573,6.8,53765,Bernie,Bernie,2011,99.0,MNE,9200000.0,0,2012,9200000.0,6000000,9204489,10106975,4106975,Comedy
tt1704573,6.8,53765,Bernie,Bernie,2011,99.0,MNE,9200000.0,0,2012,9200000.0,6000000,9204489,10106975,4106975,Crime
tt1726669,6.7,67842,Killer Joe,Killer Joe,2011,102.0,LD,2000000.0,1700000,2012,3700000.0,10000000,1291645,4659110,-5340890,Crime
tt1726669,6.7,67842,Killer Joe,Killer Joe,2011,102.0,LD,2000000.0,1700000,2012,3700000.0,10000000,1291645,4659110,-5340890,Drama
tt1726669,6.7,67842,Killer Joe,Killer Joe,2011,102.0,LD,2000000.0,1700000,2012,3700000.0,10000000,1291645,4659110,-5340890,Thriller
tt1240982,5.5,92940,Your Highness,Your Highness,2011,102.0,Uni.,21600000.0,3300000,2011,24900000.0,50000000,21596445,26121638,-23878362,Adventure
tt1240982,5.5,92940,Your Highness,Your Highness,2011,102.0,Uni.,21600000.0,3300000,2011,24900000.0,50000000,21596445,26121638,-23878362,Comedy
tt1240982,5.5,92940,Your Highness,Your Highness,2011,102.0,Uni.,21600000.0,3300000,2011,24900000.0,50000000,21596445,26121638,-23878362,Fantasy
tt1216475,6.2,138914,Cars 2,Cars 2,2011,106.0,BV,191500000.0,370700000,2011,562200000.0,200000000,191450875,560155383,360155383,Adventure
tt1216475,6.2,138914,Cars 2,Cars 2,2011,106.0,BV,191500000.0,370700000,2011,562200000.0,200000000,191450875,560155383,360155383,Animation
tt1216475,6.2,138914,Cars 2,Cars 2,2011,106.0,BV,191500000.0,370700000,2011,562200000.0,200000000,191450875,560155383,360155383,Comedy
tt1515091,7.5,394189,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011,129.0,WB,186800000.0,358600000,2011,545400000.0,125000000,186848418,535663443,410663443,Action
tt1515091,7.5,394189,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011,129.0,WB,186800000.0,358600000,2011,545400000.0,125000000,186848418,535663443,410663443,Adventure
tt1515091,7.5,394189,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011,129.0,WB,186800000.0,358600000,2011,545400000.0,125000000,186848418,535663443,410663443,Crime
